Company=GREAT BEAR PETROLEUM
Well=GB_ALCOR_#1
Field=WILDCAT
County=NORTH SLOPE
State=ALASKA
Country=NORTH SLOPE
Dip Summary From 4550.80 to 4575.80 Metres
Dip Confidence :
   E=Excellent(dip quality=1), G=Good(dip quality=2)
F=Fair(dip quality=3), P=Poor(dip quality=4 or 5)
Depth,Class,True Mag,True Azi,Quality,Caliper,Conf,DipType,Gamma Ray,Devi,Hazi
4638.4448,BED,    1.16,   32.00,1,8.71,E,Bed Boundary,78.96,0.48,138.23
4638.9438,BED,    1.22,   30.20,1,8.70,E,Bed Boundary,84.22,0.48,138.22
4639.0957,BED,    1.21,   30.20,1,8.72,E,Bed Boundary,85.07,0.48,138.24
4639.3667,BED,    1.16,   28.40,1,8.74,E,Bed Boundary,87.90,0.48,138.25
4639.4966,BED,    1.16,   28.40,1,8.72,E,Bed Boundary,88.10,0.48,138.27
4639.7354,BED,    1.16,   28.40,1,8.71,E,Bed Boundary,88.85,0.48,138.32
4640.0718,BED,    1.16,   26.60,1,8.71,E,Bed Boundary,90.46,0.48,138.45
4640.4512,BED,    1.16,   50.00,1,8.72,E,Bed Boundary,81.61,0.48,138.61
4641.1455,BED,    1.16,   50.00,1,8.72,E,Bed Boundary,58.39,0.48,138.80
4641.8179,BED,    1.16,   51.80,1,8.70,E,Bed Boundary,38.20,0.48,138.93
4642.4146,BED,    2.37,   46.40,1,8.73,E,Bed Boundary,39.65,0.48,138.94
4642.6421,BED,    1.16,   46.40,1,8.74,E,Bed Boundary,44.75,0.48,138.99
4642.7183,BED,    2.37,   46.40,1,8.74,E,Bed Boundary,46.91,0.48,139.01
4642.9785,BED,    1.21,   24.80,1,8.75,E,Bed Boundary,54.21,0.48,139.07
4643.3145,BED,    1.16,   24.80,1,8.76,E,Bed Boundary,66.21,0.48,138.93
4643.5532,BED,    1.16,   24.80,1,8.77,E,Bed Boundary,72.72,0.48,138.79
4643.7158,BED,    1.16,   24.80,1,8.77,E,Bed Boundary,74.82,0.48,138.72
4643.8896,BED,    1.21,   24.80,1,8.77,E,Bed Boundary,77.49,0.48,138.72
4644.0195,BED,    2.31,   26.60,1,8.78,E,Bed Boundary,78.77,0.48,138.74
4644.2041,BED,    2.36,   26.60,1,8.79,E,Bed Boundary,80.99,0.48,138.81
4644.3560,BED,    2.36,   26.60,1,8.78,E,Bed Boundary,81.33,0.48,138.89
4644.5400,BED,    1.16,   44.60,1,8.76,E,Bed Boundary,81.81,0.48,138.92
4644.7461,BED,    1.16,   37.40,1,8.77,E,Bed Boundary,83.49,0.48,138.87
4645.3755,BED,    1.20,   35.60,1,8.81,E,Bed Boundary,88.68,0.48,138.94
4647.4146,BED,    2.36,   28.40,1,8.77,E,Bed Boundary,97.12,0.48,139.10
4647.8701,BED,    1.21,   26.60,1,8.73,E,Bed Boundary,98.70,0.48,139.09
4648.2603,BED,    1.16,   26.60,1,8.74,E,Bed Boundary,101.73,0.48,139.25
4648.6509,BED,    2.37,   26.60,1,8.73,E,Bed Boundary,102.89,0.48,139.44
4649.2148,BED,    1.16,   30.20,1,8.72,E,Bed Boundary,90.02,0.48,139.77
4649.6162,BED,    4.69,   75.20,1,8.72,E,Bed Boundary,75.20,0.47,139.91
4649.7461,BED,    2.32,   62.60,1,8.74,E,Bed Boundary,72.38,0.47,139.93
4649.8872,BED,    3.53,   53.60,1,8.74,E,Bed Boundary,67.59,0.47,140.01
4650.0933,BED,    1.16,   32.00,1,8.71,E,Bed Boundary,62.93,0.47,140.06
4650.3101,BED,    2.33,   30.20,1,8.69,E,Bed Boundary,62.34,0.47,140.11
4650.4731,BED,    2.38,   26.60,1,8.71,E,Bed Boundary,61.18,0.47,140.19
4650.6899,BED,    6.99,   93.20,1,8.72,E,Sedimentary Dips,61.45,0.48,140.21
4650.8525,BED,    3.53,   93.20,1,8.72,E,Sedimentary Dips,63.08,0.48,140.27
4651.0371,BED,    5.84,   39.20,1,8.73,E,Sedimentary Dips,64.77,0.47,140.37
4651.2104,BED,    5.84,   39.20,1,8.72,E,Sedimentary Dips,66.58,0.47,140.52
4651.4707,BED,    4.69,  213.80,1,8.71,E,Sedimentary Dips,68.79,0.47,140.65
4651.6875,BED,    5.84,  204.80,1,8.72,E,Sedimentary Dips,71.04,0.47,140.70
4651.8506,BED,    5.83,  204.80,1,8.74,E,Sedimentary Dips,70.96,0.47,140.79
4652.5552,BED,    3.53,  217.40,1,8.74,E,Bed Boundary,65.04,0.47,141.10
4652.7612,BED,    3.52,  215.60,1,8.76,E,Bed Boundary,61.62,0.47,141.05
4652.9785,BED,    2.32,  215.60,1,8.75,E,Bed Boundary,58.46,0.47,141.03
4653.2495,BED,    2.32,  213.80,1,8.75,E,Bed Boundary,53.01,0.47,141.11
4653.6182,BED,    2.37,  213.80,1,8.75,E,Bed Boundary,47.89,0.47,141.39
