Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
HAWK,12.791666666664241,24.0,0.0116666666680248,37.0000000043074,100.000000011642,,100,1175,1175,142.988943,Tubing Pressure,4928.22576791558
HAWK,12.833333333335759,24.0,0.0119999999993015,39.9999999976717,108.999999993655,,100,1173,1173,142.988943,Tubing Pressure,5028.71962702758
HAWK,12.875,24.0,0.0118749999993088,37.9999999977881,109.999999993597,,100,1168,1168,142.988943,Tubing Pressure,5023.24610159688
HAWK,12.916666666664241,24.0,0.012000000001397,37.0000000043074,105.000000012224,,100,1165,1165,142.988943,Tubing Pressure,4971.46808702056
HAWK,12.958333333335759,24.0,0.011916666665973,37.9999999977881,103.999999993946,,100,1162,1162,142.988943,Tubing Pressure,4958.37796838817
HAWK,13.0,24.0,0.0118749999993088,36.9999999978463,101.999999994063,,100,1160,1160,142.988943,Tubing Pressure,4934.36874133854
HAWK,13.041666666664241,24.0,0.0120416666680685,38.0000000044238,100.000000011642,,100,1161,1161,142.988943,Tubing Pressure,4918.72303473647
HAWK,13.083333333335759,24.0,0.0119999999993015,38.9999999977299,100.999999994121,,100,1160,1160,142.988943,Tubing Pressure,4931.73791499556
HAWK,13.125,24.0,0.0138749999991924,39.9999999976717,98.9999999942374,,100,1159,1159,142.988943,Tubing Pressure,4948.14214203485
HAWK,13.166666666664241,24.0,0.0121666666680831,40.0000000046566,97.0000000112923,,100,1158,1158,142.988943,Tubing Pressure,4895.37397883907
HAWK,13.208333333335759,24.0,0.0123749999992797,41.9999999975553,97.9999999942956,,100,1158,1158,142.988943,Tubing Pressure,4914.4212185776
HAWK,13.25,24.0,0.0124999999992724,42.9999999974971,97.9999999942956,,100,1156,1156,142.988943,Tubing Pressure,4917.29554322906
HAWK,13.291666666664241,24.0,0.0128750000014988,42.0000000048894,96.0000000111759,,100,1154,1154,142.988943,Tubing Pressure,4891.19538191692
HAWK,13.333333333335759,24.0,0.0127916666659221,40.9999999976135,96.9999999943539,,100,1152,1152,142.988943,Tubing Pressure,4894.4292430125
HAWK,13.375,24.0,0.0130833333325718,40.9999999976135,95.9999999944121,,100,1151,1151,142.988943,Tubing Pressure,4884.55279749457
HAWK,13.416666666664241,24.0,0.0133750000015571,43.0000000050059,95.0000000110595,,100,1150,1150,142.988943,Tubing Pressure,4882.38461511371
HAWK,13.458333333335759,24.0,0.013291666665893,43.9999999974389,95.9999999944121,,100,1149,1149,142.988943,Tubing Pressure,4895.89966246136
HAWK,13.5,24.0,0.0133749999992215,44.9999999973807,93.9999999945285,,100,1147,1147,142.988943,Tubing Pressure,4878.73628420526
HAWK,13.541666666664241,24.0,0.013291666668214,44.0000000051223,93.0000000108266,,100,1145,1145,142.988943,Tubing Pressure,4861.97212817121
HAWK,13.583333333335759,24.0,0.0134166666658857,44.9999999973807,94.9999999944703,,100,1144,1144,142.988943,Tubing Pressure,4885.78625167689
HAWK,13.625,24.0,0.013124999999236,42.9999999974971,94.9999999944703,,100,1139,1139,142.988943,Tubing Pressure,4871.00037666222
HAWK,13.666666666664241,24.0,0.013291666668214,42.0000000048894,96.0000000111759,,100,1137,1137,142.988943,Tubing Pressure,4874.50430660107
HAWK,13.708333333335759,24.0,0.0135833333325427,44.9999999973807,92.9999999945867,,100,1136,1136,142.988943,Tubing Pressure,4857.84111215818
HAWK,13.75,24.0,0.0138749999991924,45.9999999973224,94.9999999944703,,100,1136,1136,142.988943,Tubing Pressure,4883.10844862097
HAWK,13.791666666664241,24.0,0.0136666666682577,45.0000000052387,94.000000010943,,100,1133,1133,142.988943,Tubing Pressure,4864.92262857913
HAWK,13.833333333335759,24.0,0.0139166666658566,44.9999999973807,91.9999999946449,,100,1130,1130,142.988943,Tubing Pressure,4842.15906037987
HAWK,13.875,24.0,0.0137499999991996,46.9999999972642,89.9999999947613,,100,1129,1129,142.988943,Tubing Pressure,4830.30771429888
HAWK,13.916666666664241,24.0,0.0137500000016007,44.0000000051223,90.0000000104774,,100,1128,1128,142.988943,Tubing Pressure,4815.6119145575
HAWK,13.958333333335759,24.0,0.0135416666658784,45.9999999973224,88.9999999948195,,100,1125,1125,142.988943,Tubing Pressure,4811.35208626569
HAWK,14.0,24.0,0.0135833333325427,44.9999999973807,91.9999999946449,,100,1123,1123,142.988943,Tubing Pressure,4834.73110997696
HAWK,14.041666666664241,24.0,0.0138750000016153,46.0000000053551,92.0000000107102,,100,1120,1120,142.988943,Tubing Pressure,4836.71360975425
